timestamp,open,high,low,close,volume,datetime
1743465600000,82550.01,82712.54,82483.48,82483.49,15.43372006,2025-04-01 00:00:00
1743466500000,82483.49,82750.02,82432.74,82640.0,14.36779088,2025-04-01 00:15:00
1743467400000,82640.0,82735.09,82543.27,82727.17,14.51966348,2025-04-01 00:30:00
1743468300000,82727.17,82833.0,82566.94,82651.1,16.46994685,2025-04-01 00:45:00
1743469200000,82651.1,82667.26,82459.99,82568.13,15.61374494,2025-04-01 01:00:00
1743470100000,82568.13,82724.0,82509.13,82704.78,13.33577774,2025-04-01 01:15:00
1743471000000,82704.78,82741.8,82548.83,82578.26,9.44864268,2025-04-01 01:30:00
1743471900000,82578.26,82740.67,82578.26,82704.19,14.43799565,2025-04-01 01:45:00
1743472800000,82704.19,82845.1,82649.34,82845.1,14.66666565,2025-04-01 02:00:00
1743473700000,82845.1,83020.13,82845.09,82893.77,24.23464216,2025-04-01 02:15:00
1743474600000,82893.77,82956.84,82795.65,82950.0,15.98187661,2025-04-01 02:30:00
1743475500000,82950.0,83100.0,82882.6,83099.99,24.69956641,2025-04-01 02:45:00
1743476400000,83099.99,83200.0,83031.72,83180.79,25.07540178,2025-04-01 03:00:00
1743477300000,83180.79,83256.8,83085.11,83085.11,18.99670117,2025-04-01 03:15:00
1743478200000,83085.11,83121.49,82991.29,83006.02,15.65263775,2025-04-01 03:30:00
1743479100000,83006.02,83085.06,82926.08,82962.83,11.45357364,2025-04-01 03:45:00
1743480000000,82962.83,83023.25,82900.0,82935.98,12.44033452,2025-04-01 04:00:00
1743480900000,82935.98,83055.01,82886.87,83047.62,14.37429644,2025-04-01 04:15:00
1743481800000,83047.62,83235.95,83047.61,83168.08,13.62416228,2025-04-01 04:30:00
1743482700000,83168.08,83168.3,83056.52,83056.53,14.15052065,2025-04-01 04:45:00
1743483600000,83056.53,83169.81,83013.39,83169.81,8.67828723,2025-04-01 05:00:00
1743484500000,83169.81,83329.99,83169.81,83291.86,13.1338959,2025-04-01 05:15:00
1743485400000,83291.86,83329.31,83128.04,83171.5,8.68969173,2025-04-01 05:30:00
1743486300000,83171.5,83186.06,82994.07,83006.66,19.43183335,2025-04-01 05:45:00
1743487200000,83006.66,83049.98,82891.71,82991.65,15.29429502,2025-04-01 06:00:00
1743488100000,82991.65,83134.58,82968.39,83134.57,9.87463425,2025-04-01 06:15:00
1743489000000,83134.57,83386.0,83121.4,83356.11,17.54677503,2025-04-01 06:30:00
1743489900000,83356.11,83494.25,83294.59,83451.96,16.15256281,2025-04-01 06:45:00
1743490800000,83451.96,83514.26,83380.58,83510.02,22.33002404,2025-04-01 07:00:00
1743491700000,83510.02,83569.93,83387.06,83449.99,13.28485745,2025-04-01 07:15:00
1743492600000,83449.99,83597.07,83405.65,83531.38,17.56850535,2025-04-01 07:30:00
1743493500000,83531.38,83585.99,83438.98,83445.49,19.27161388,2025-04-01 07:45:00
1743494400000,83445.49,83699.99,83415.99,83696.53,21.59046171,2025-04-01 08:00:00
1743495300000,83696.53,84021.99,83696.52,83914.82,35.38112589,2025-04-01 08:15:00
1743496200000,83914.82,84179.15,83914.82,83989.51,53.83779519,2025-04-01 08:30:00
1743497100000,83989.51,84207.55,83989.5,84121.94,23.58685862,2025-04-01 08:45:00
1743498000000,84121.94,84323.91,84116.26,84156.61,65.82412274,2025-04-01 09:00:00
1743498900000,84156.61,84290.7,84136.76,84226.22,23.81255253,2025-04-01 09:15:00
1743499800000,84226.22,84363.6,84204.46,84336.0,23.19037651,2025-04-01 09:30:00
1743500700000,84336.0,84395.46,84264.1,84362.01,14.9147546,2025-04-01 09:45:00
1743501600000,84362.01,84394.57,84162.42,84284.89,25.16548966,2025-04-01 10:00:00
1743502500000,84284.89,84504.73,84284.89,84425.54,29.11002152,2025-04-01 10:15:00
1743503400000,84425.54,84441.44,84178.81,84244.44,40.3766392,2025-04-01 10:30:00
1743504300000,84244.44,84347.96,84150.0,84176.0,21.00968394,2025-04-01 10:45:00
1743505200000,84176.0,84203.0,83963.81,84096.01,35.9515947,2025-04-01 11:00:00
1743506100000,84096.01,84173.23,83983.99,84049.0,23.94074596,2025-04-01 11:15:00
1743507000000,84049.0,84049.0,83823.67,83982.02,32.38459056,2025-04-01 11:30:00
1743507900000,83982.02,84050.0,83878.47,83930.3,20.93563593,2025-04-01 11:45:00
1743508800000,83930.3,84132.93,83924.52,84095.99,25.60464955,2025-04-01 12:00:00
1743509700000,84095.99,84154.22,83918.16,84073.49,16.76920629,2025-04-01 12:15:00
1743510600000,84073.49,84073.49,83681.12,83749.99,23.38237179,2025-04-01 12:30:00
1743511500000,83749.99,83811.27,83615.24,83615.26,21.57628574,2025-04-01 12:45:00
1743512400000,83615.26,83821.89,83596.0,83777.62,17.72110608,2025-04-01 13:00:00
1743513300000,83777.62,83777.65,83615.0,83679.99,20.81929319,2025-04-01 13:15:00
1743514200000,83679.99,83830.16,83416.66,83734.27,43.29456667,2025-04-01 13:30:00
1743515100000,83734.27,83908.31,83532.01,83728.02,32.24174272,2025-04-01 13:45:00
1743516000000,83728.02,83728.02,82652.88,82796.1,73.33249733,2025-04-01 14:00:00
1743516900000,82796.1,83056.28,82544.0,82982.06,60.14788935,2025-04-01 14:15:00
1743517800000,82982.06,83653.87,82940.0,83508.0,45.81171967,2025-04-01 14:30:00
1743518700000,83508.0,84349.99,83433.68,84210.29,49.43190041,2025-04-01 14:45:00
1743519600000,84210.29,84905.99,84184.73,84905.98,58.87325045,2025-04-01 15:00:00
1743520500000,84905.98,85227.04,84699.99,84765.69,84.6513524,2025-04-01 15:15:00
1743521400000,84765.69,85331.57,84750.46,85331.23,75.9650634,2025-04-01 15:30:00
1743522300000,85331.23,85499.0,85209.12,85280.04,74.76484901,2025-04-01 15:45:00
1743523200000,85280.04,85492.98,85105.99,85179.74,52.60691442,2025-04-01 16:00:00
1743524100000,85179.74,85267.26,84822.98,84919.99,52.57365349,2025-04-01 16:15:00
1743525000000,84919.99,85136.79,84815.0,84947.4,27.89764625,2025-04-01 16:30:00
1743525900000,84947.4,85285.7,84890.54,85119.99,25.96862824,2025-04-01 16:45:00
1743526800000,85119.99,85150.0,84901.32,85138.97,25.31822775,2025-04-01 17:00:00
1743527700000,85138.97,85155.77,84916.0,85132.05,18.92267732,2025-04-01 17:15:00
1743528600000,85132.05,85268.33,85092.9,85113.99,29.45979501,2025-04-01 17:30:00
1743529500000,85113.99,85333.33,85103.77,85117.85,17.68666891,2025-04-01 17:45:00
1743530400000,85117.85,85134.66,84768.53,84863.01,22.88848745,2025-04-01 18:00:00
1743531300000,84863.01,84958.74,84720.0,84904.18,17.64670337,2025-04-01 18:15:00
1743532200000,84904.18,85183.45,84859.02,85136.28,27.19592094,2025-04-01 18:30:00
1743533100000,85136.28,85156.05,84921.99,85126.68,32.24588245,2025-04-01 18:45:00
1743534000000,85126.68,85171.7,85013.04,85125.2,34.12137327,2025-04-01 19:00:00
1743534900000,85125.2,85184.89,84924.24,84924.24,28.00718209,2025-04-01 19:15:00
1743535800000,84924.24,85069.99,84862.0,84993.62,23.11931782,2025-04-01 19:30:00
1743536700000,84993.62,85113.29,84816.83,84972.01,30.92097008,2025-04-01 19:45:00
1743537600000,84972.01,85011.85,84773.58,84980.54,18.4023837,2025-04-01 20:00:00
1743538500000,84980.54,85103.78,84942.58,84967.09,10.75382687,2025-04-01 20:15:00
1743539400000,84967.09,85052.0,84853.14,85021.71,7.27601945,2025-04-01 20:30:00
1743540300000,85021.71,85347.92,85010.25,85228.63,16.09048391,2025-04-01 20:45:00
1743541200000,85228.63,85332.42,85120.0,85292.45,11.49027777,2025-04-01 21:00:00
1743542100000,85292.45,85292.45,85177.59,85184.0,5.5107025,2025-04-01 21:15:00
1743543000000,85184.0,85476.86,85135.26,85360.74,11.93998719,2025-04-01 21:30:00
1743543900000,85360.74,85372.64,85180.71,85223.81,11.99105418,2025-04-01 21:45:00
1743544800000,85223.81,85483.37,85148.91,85374.69,14.92851726,2025-04-01 22:00:00
1743545700000,85374.69,85386.55,85213.55,85226.76,15.63312229,2025-04-01 22:15:00
1743546600000,85226.76,85323.99,85168.78,85209.55,10.93921407,2025-04-01 22:30:00
1743547500000,85209.55,85337.75,85089.7,85099.99,50.13450772,2025-04-01 22:45:00
1743548400000,85099.99,85126.95,84969.57,85056.61,14.44488861,2025-04-01 23:00:00
1743549300000,85056.61,85346.09,85056.61,85343.67,8.42569636,2025-04-01 23:15:00
1743550200000,85343.67,85559.14,85208.43,85247.54,42.15368287,2025-04-01 23:30:00
1743551100000,85247.54,85250.35,85150.78,85154.39,8.00136721,2025-04-01 23:45:00
1743552000000,85154.39,85250.1,85103.77,85113.45,16.21229702,2025-04-02 00:00:00
1743552900000,85113.45,85237.5,85063.21,85063.21,17.37590346,2025-04-02 00:15:00
1743553800000,85063.21,85142.92,85031.12,85031.13,12.02748548,2025-04-02 00:30:00
1743554700000,85031.13,85122.95,84923.28,84964.48,19.72302178,2025-04-02 00:45:00
1743555600000,84964.48,85081.97,84854.9,84894.25,18.36396947,2025-04-02 01:00:00
1743556500000,84894.25,85037.15,84870.46,84932.07,16.31600471,2025-04-02 01:15:00
1743557400000,84932.07,85213.12,84908.15,85169.0,14.53799142,2025-04-02 01:30:00
1743558300000,85169.0,85181.08,85022.53,85147.3,20.12572209,2025-04-02 01:45:00
1743559200000,85147.3,85171.99,84649.79,84750.11,35.16363563,2025-04-02 02:00:00
1743560100000,84750.11,84867.9,84664.01,84804.63,24.55962053,2025-04-02 02:15:00
1743561000000,84804.63,84894.11,84650.0,84671.01,16.32242703,2025-04-02 02:30:00
1743561900000,84671.01,84859.99,84668.58,84714.35,22.41357423,2025-04-02 02:45:00
1743562800000,84714.35,84904.0,84706.21,84839.99,11.05820632,2025-04-02 03:00:00
1743563700000,84839.99,84893.06,84665.2,84713.99,13.9921687,2025-04-02 03:15:00
1743564600000,84713.99,84802.38,84519.63,84599.99,22.84056073,2025-04-02 03:30:00
1743565500000,84599.99,84636.96,84550.0,84550.0,10.09555238,2025-04-02 03:45:00
1743566400000,84550.0,84703.5,84517.0,84696.52,23.43387743,2025-04-02 04:00:00
1743567300000,84696.52,84726.42,84605.94,84624.08,10.28538886,2025-04-02 04:15:00
1743568200000,84624.08,84624.08,84475.45,84475.45,13.77913224,2025-04-02 04:30:00
1743569100000,84475.45,84617.91,84460.1,84606.99,11.81806824,2025-04-02 04:45:00
1743570000000,84606.99,84607.0,84370.33,84370.33,11.73694832,2025-04-02 05:00:00
1743570900000,84370.33,84370.33,84185.0,84237.25,19.86856907,2025-04-02 05:15:00
1743571800000,84237.25,84349.05,84164.0,84196.0,20.24587345,2025-04-02 05:30:00
1743572700000,84196.0,84230.44,84100.0,84100.02,23.5170575,2025-04-02 05:45:00
1743573600000,84100.02,84145.01,83910.67,83994.05,21.93417209,2025-04-02 06:00:00
1743574500000,83994.05,84172.52,83946.31,84138.14,20.30409457,2025-04-02 06:15:00
1743575400000,84138.14,84362.39,84052.05,84319.62,19.31156275,2025-04-02 06:30:00
1743576300000,84319.62,84319.63,84122.33,84126.0,11.30077416,2025-04-02 06:45:00
1743577200000,84126.0,84231.34,84031.92,84039.79,15.12115218,2025-04-02 07:00:00
1743578100000,84039.79,84252.96,84015.97,84150.0,14.86778617,2025-04-02 07:15:00
1743579000000,84150.0,84455.84,84125.0,84253.99,12.81423774,2025-04-02 07:30:00
1743579900000,84253.99,84462.16,84198.26,84426.32,10.50515996,2025-04-02 07:45:00
1743580800000,84426.32,84426.33,84311.58,84332.64,8.48387254,2025-04-02 08:00:00
1743581700000,84332.64,84604.0,84262.73,84570.4,9.84632855,2025-04-02 08:15:00
1743582600000,84570.4,84734.04,84530.21,84684.37,12.37031619,2025-04-02 08:30:00
1743583500000,84684.37,84760.19,84609.44,84677.02,9.40018115,2025-04-02 08:45:00
1743584400000,84677.02,85450.0,84635.6,85311.85,19.39586815,2025-04-02 09:00:00
1743585300000,85311.85,85353.44,84924.24,85080.61,13.90155295,2025-04-02 09:15:00
1743586200000,85080.61,85188.32,84979.99,85016.66,9.85950609,2025-04-02 09:30:00
1743587100000,85016.66,85103.78,84955.05,85019.62,8.94773383,2025-04-02 09:45:00
1743588000000,85019.62,85189.99,84933.1,85123.38,13.61603756,2025-04-02 10:00:00
1743588900000,85123.38,85299.45,85046.6,85102.13,10.21649641,2025-04-02 10:15:00
1743589800000,85102.13,85102.14,84907.64,85021.78,10.55796143,2025-04-02 10:30:00
