month,trades,wins,avg_pnl,total_pnl,win_rate,cumulative_pnl
2022-09,22,14,0.0179854456070798,0.3956798033557566,63.63636363636363,0.3956798033557566
2022-10,12,4,-0.0042593363202631,-0.0511120358431575,33.33333333333333,0.3445677675125991
2022-11,11,3,-0.0022347894779157,-0.0245826842570735,27.27272727272727,0.3199850832555256
2022-12,3,2,0.0052780889376029,0.0158342668128089,66.66666666666666,0.3358193500683345
2023-01,66,37,0.0081085699046443,0.5351656137065255,56.060606060606055,0.87098496377486
2023-02,22,7,-0.0019122663870288,-0.0420698605146339,31.818181818181817,0.8289151032602261
2023-03,23,12,0.0060837133993866,0.139925408185892,52.17391304347826,0.968840511446118
2023-04,27,14,0.0091351642016608,0.2466494334448425,51.85185185185185,1.2154899448909606
2023-06,4,2,0.0028207400681313,0.0112829602725253,50.0,1.226772905163486
2023-07,57,22,0.0010920192378243,0.0622450965559899,38.59649122807017,1.289018001719476
2023-08,1,0,-0.0340261257945706,-0.0340261257945706,0.0,1.2549918759249052
2023-09,3,2,0.0040833839771827,0.0122501519315482,66.66666666666666,1.2672420278564533
2023-10,48,24,0.0095807026008674,0.4598737248416386,50.0,1.7271157526980918
2023-11,82,42,0.0056219462442663,0.4609995920298396,51.21951219512195,2.1881153447279313
2023-12,86,39,0.0031194103418715,0.2682692894009557,45.34883720930232,2.456384634128887
2024-01,19,4,-0.0064655261802688,-0.1228449974251082,21.052631578947366,2.333539636703779
2024-02,20,6,-0.0037350010262657,-0.0747000205253152,30.0,2.258839616178464
2024-03,84,44,0.0033703747928302,0.2831114825977404,52.38095238095239,2.541951098776204
2024-04,18,11,0.0083725475675542,0.1507058562159761,61.11111111111112,2.6926569549921804
2024-05,36,16,0.0036519660329012,0.1314707771844455,44.44444444444444,2.824127732176626
2024-07,35,14,0.0039457219346512,0.1381002677127921,40.0,2.962227999889418
2024-08,19,7,-0.0026663144380269,-0.0506599743225117,36.84210526315789,2.9115680255669063
2024-09,42,23,0.0081432653406957,0.3420171443092218,54.761904761904766,3.253585169876128
2024-10,49,26,0.007790363573161,0.3817278150848919,53.06122448979592,3.6353129849610197
2024-11,69,27,0.0012822151451919,0.0884728450182411,39.130434782608695,3.7237858299792608
2024-12,6,2,-0.0038396782008529,-0.0230380692051175,33.33333333333333,3.7007477607741435
2025-01,35,15,-0.0054844245185033,-0.1919548581476168,42.85714285714285,3.5087929026265265
2025-02,4,0,-0.0241698323254994,-0.0966793293019979,0.0,3.4121135733245285
2025-03,1,1,0.0183663857130935,0.0183663857130935,100.0,3.430479959037622
2025-04,31,13,0.0008708038150531,0.0269949182666482,41.935483870967744,3.45747487730427
2025-05,55,28,0.0060295484309728,0.3316251637035067,50.90909090909091,3.7891000410077766
2025-06,1,0,-0.0220354375659504,-0.0220354375659504,0.0,3.7670646034418263
2025-07,63,33,0.0035759848686642,0.2252870467258488,52.38095238095239,3.992351650167675
2025-08,48,24,0.0087826209758836,0.4215658068424166,50.0,4.413917457010092
2025-09,42,20,-0.0009918979119846,-0.041659712303354,47.61904761904761,4.3722577447067374
2025-10,16,5,-0.0092515606438037,-0.1480249703008605,31.25,4.224232774405877
2025-11,5,2,-0.008624377971964,-0.0431218898598202,40.0,4.181110884546057
2026-01,44,32,0.0126680943651652,0.5573961520672724,72.72727272727273,4.7385070366133295
