entry_time,exit_time,price,exit,outcome,pnl,month,max_pnl,cumulative_pnl
2023-02-15 02:00:00+00:00,2023-02-15 12:00:00+00:00,22113.18,22663.686620720713,TP,0.02489495498705807,2023-02,0.028707766137660875,0.02489495498705807
2023-02-15 03:00:00+00:00,2023-02-15 12:00:00+00:00,22089.86,22577.63459377354,TP,0.022081380043763883,2023-02,0.029793760576119512,0.04697633503082195
2023-02-15 03:15:00+00:00,2023-02-15 12:00:00+00:00,22104.59,22594.63069421829,TP,0.022169182699986245,2023-02,0.029107529250712177,0.0691455177308082
2023-02-16 11:15:00+00:00,2023-02-16 15:45:00+00:00,24566.79,24789.908,TRAIL,0.009082098230985757,2023-02,0.02133815610423662,0.07822761596179395
2023-02-16 12:15:00+00:00,2023-02-16 15:45:00+00:00,24512.84,24789.908,TRAIL,0.011302974277970211,2023-02,0.023586006354220885,0.08953059023976416
2023-02-16 14:45:00+00:00,2023-02-16 15:45:00+00:00,24423.8,24789.908,TRAIL,0.0149898050262449,2023-02,0.02731761642332482,0.10452039526600906
2023-02-16 15:00:00+00:00,2023-02-16 15:45:00+00:00,24494.38,24789.908,TRAIL,0.012065134941157867,2023-02,0.024357424029512034,0.11658553020716693
2023-02-16 23:00:00+00:00,2023-02-16 23:30:00+00:00,24061.66,23700.735099999998,SL,-0.015000000000000074,2023-02,0.0004933159225090448,0.10158553020716686
2023-02-17 00:00:00+00:00,2023-02-17 14:30:00+00:00,23529.29,23956.41144,TRAIL,0.01815275514050781,2023-02,0.030518982935736697,0.11973828534767467
2023-02-17 00:30:00+00:00,2023-02-17 14:30:00+00:00,23758.58,23956.41144,TRAIL,0.008326736698910377,2023-02,0.020573620140597597,0.12806502204658504
2023-02-17 07:00:00+00:00,2023-02-17 14:30:00+00:00,23746.1,23956.41144,TRAIL,0.008856672885231736,2023-02,0.021109992798817596,0.13692169493181677
2023-02-17 07:15:00+00:00,2023-02-17 14:30:00+00:00,23763.81,23956.41144,TRAIL,0.008104821575328137,2023-02,0.020349009691627718,0.1450265165071449
2023-02-17 08:00:00+00:00,2023-02-17 14:30:00+00:00,23677.36,23956.41144,TRAIL,0.01178558082488923,2023-02,0.024074474519118705,0.15681209733203413
2023-02-17 08:30:00+00:00,2023-02-17 14:30:00+00:00,23660.58,23956.41144,TRAIL,0.012503135595154391,2023-02,0.02480074452950854,0.16931523292718853
2023-02-17 13:45:00+00:00,2023-02-17 16:15:00+00:00,23782.23,23989.35136,TRAIL,0.008709080687555415,2023-02,0.023148375909239818,0.17802431361474394
2023-02-18 08:15:00+00:00,2023-02-19 15:15:00+00:00,24550.65,24745.448,TRAIL,0.00793453533816819,2023-02,0.020176655200575076,0.18595884895291212
2023-02-18 08:30:00+00:00,2023-02-19 17:00:00+00:00,24561.07,24510.264479999998,TRAIL,-0.002068538544941312,2023-02,0.02568821309495068,0.1838903104079708
2023-02-18 08:45:00+00:00,2023-02-19 17:00:00+00:00,24588.51,24510.264479999998,TRAIL,-0.0031821985146721133,2023-02,0.02454357746768721,0.1807081118932987
2023-02-18 10:15:00+00:00,2023-02-19 15:15:00+00:00,24537.35,24745.448,TRAIL,0.008480866923282334,2023-02,0.020729622391986155,0.18918897881658103
2023-02-18 11:00:00+00:00,2023-02-19 15:15:00+00:00,24485.78,24745.448,TRAIL,0.01060484901849161,2023-02,0.022879401840578538,0.19979382783507266
2023-02-18 11:30:00+00:00,2023-02-19 15:15:00+00:00,24524.07,24745.448,TRAIL,0.00902696819899799,2023-02,0.0212823564767186,0.20882079603407064
2023-02-18 19:45:00+00:00,2023-02-19 17:00:00+00:00,24608.34,24510.264479999998,TRAIL,-0.003985458588429864,2023-02,0.023717975288052744,0.20483533744564078
2023-02-19 07:00:00+00:00,2023-02-19 17:00:00+00:00,24659.76,24510.264479999998,TRAIL,-0.006062326640648587,2023-02,0.021583340632674513,0.19877301080499218
2023-02-19 17:15:00+00:00,2023-02-19 20:15:00+00:00,24624.97,24255.59545,SL,-0.015000000000000019,2023-02,0.002233911350957926,0.18377301080499217
2023-02-20 01:15:00+00:00,2023-02-20 09:30:00+00:00,24002.87,24547.80848,TRAIL,0.02270305509299516,2023-02,0.03512454968926633,0.20647606589798734
2023-02-20 01:30:00+00:00,2023-02-20 09:30:00+00:00,24168.14,24547.80848,TRAIL,0.015709462126584847,2023-02,0.028046014298162777,0.2221855280245722
2023-02-20 01:45:00+00:00,2023-02-20 09:30:00+00:00,24236.97,24547.80848,TRAIL,0.012824972758558454,2023-02,0.0251264906463142,0.23501050078313065
2023-02-20 02:00:00+00:00,2023-02-20 09:30:00+00:00,24333.5,24547.80848,TRAIL,0.008807137485359677,2023-02,0.021059855754412604,0.24381763826849034
2023-02-20 16:30:00+00:00,2023-02-21 15:15:00+00:00,24793.23,24421.33155,SL,-0.015000000000000024,2023-02,0.018423174390751043,0.22881763826849033
2023-02-21 09:30:00+00:00,2023-02-21 15:15:00+00:00,24798.4,24426.424000000003,SL,-0.01499999999999995,2023-02,0.0014379959997419128,0.21381763826849037
2023-02-21 12:00:00+00:00,2023-02-21 21:15:00+00:00,24611.74,24242.5639,SL,-0.015000000000000024,2023-02,0.007242884899645388,0.19881763826849036
2023-02-22 02:30:00+00:00,2023-02-22 15:00:00+00:00,24140.37,23778.26445,SL,-0.01500000000000001,2023-02,0.005406296589488978,0.18381763826849035
2023-02-22 19:00:00+00:00,2023-02-23 02:30:00+00:00,23825.95,24257.2772,TRAIL,0.018103252965778898,2023-02,0.030468879520019167,0.20192089123426923
2023-02-23 10:15:00+00:00,2023-02-23 11:15:00+00:00,24310.36,23945.7046,SL,-0.014999999999999986,2023-02,0.00016371620987922693,0.18692089123426925
2023-02-23 12:15:00+00:00,2023-02-24 15:30:00+00:00,23824.84,23467.4674,SL,-0.01499999999999995,2023-02,0.01694030264211632,0.1719208912342693
2023-02-23 12:45:00+00:00,2023-02-24 15:15:00+00:00,23912.09,23553.40865,SL,-0.014999999999999954,2023-02,0.013229709322773483,0.15692089123426933
2023-02-24 19:45:00+00:00,2023-02-25 20:45:00+00:00,23182.27,22834.53595,SL,-0.014999999999999961,2023-02,0.006492893060084298,0.14192089123426938
2023-02-26 22:30:00+00:00,2023-02-28 21:30:00+00:00,23431.99,23080.510150000002,SL,-0.014999999999999987,2023-02,0.019887342048199915,0.1269208912342694
2023-03-13 09:00:00+00:00,2023-03-13 09:30:00+00:00,22214.66,21881.4401,SL,-0.015000000000000003,2023-03,0.0020306410271415626,0.11192089123426939
2023-03-14 07:45:00+00:00,2023-03-14 12:30:00+00:00,24247.64,25194.0,TRAIL,0.03902895292077912,2023-03,0.051648737774067935,0.1509498441550485
2023-03-14 19:45:00+00:00,2023-03-14 21:00:00+00:00,25054.15,24422.645084981596,SL,-0.025205601268388902,2023-03,0.00454016600044304,0.12574424288665959
2023-03-14 21:15:00+00:00,2023-03-15 01:00:00+00:00,24389.62,24661.88296,TRAIL,0.01116306691125159,2023-03,0.023444399707744496,0.1369073097979112
2023-03-15 10:00:00+00:00,2023-03-15 12:30:00+00:00,24551.62,24894.60636,TRAIL,0.013970009310994656,2023-03,0.026285434525298218,0.15087731910890584
2023-03-15 10:30:00+00:00,2023-03-15 12:30:00+00:00,24609.0,24894.60636,TRAIL,0.011605768621236197,2023-03,0.02389247836157508,0.16248308773014203
2023-03-15 11:30:00+00:00,2023-03-15 12:30:00+00:00,24588.03,24894.60636,TRAIL,0.012468520658222832,2023-03,0.024765709168241716,0.17495160838836485
2023-03-15 14:45:00+00:00,2023-03-15 16:00:00+00:00,24706.61,24227.35018634026,SL,-0.01939804018680591,2023-03,0.0045862220676975785,0.15555356820155894
2023-03-15 17:00:00+00:00,2023-03-16 09:30:00+00:00,24303.47,24550.69344,TRAIL,0.010172351520173782,2023-03,0.022441651336208363,0.16572591972173273
2023-03-16 00:15:00+00:00,2023-03-16 09:30:00+00:00,24335.74,24550.69344,TRAIL,0.008832829410570522,2023-03,0.02108585972729818,0.17455874913230324
2023-03-16 00:45:00+00:00,2023-03-16 09:30:00+00:00,24202.64,24550.69344,TRAIL,0.014380804738656596,2023-03,0.026701219371109995,0.18893955387095984
2023-03-16 01:15:00+00:00,2023-03-16 09:30:00+00:00,24251.51,24550.69344,TRAIL,0.012336693261574258,2023-03,0.024632280629123822,0.20127624713253411
2023-03-17 14:45:00+00:00,2023-03-17 21:30:00+00:00,26283.0,26912.616120000002,TRAIL,0.02395526081497555,2023-03,0.03639196438762705,0.22523150794750968
2023-03-18 08:15:00+00:00,2023-03-18 16:30:00+00:00,27245.72,26837.034200000002,SL,-0.014999999999999973,2023-03,0.014368495308620935,0.2102315079475097
2023-03-18 09:00:00+00:00,2023-03-18 16:30:00+00:00,27256.57,26847.72145,SL,-0.014999999999999956,2023-03,0.013964706490948825,0.19523150794750974
2023-03-18 15:45:00+00:00,2023-03-18 16:30:00+00:00,27226.23,26817.83655,SL,-0.014999999999999984,2023-03,0.004380701992159783,0.18023150794750975
2023-03-18 23:00:00+00:00,2023-03-19 15:00:00+00:00,26997.29,27308.58676,TRAIL,0.011530666966943624,2023-03,0.023816464541440995,0.19176217491445338
2023-03-18 23:45:00+00:00,2023-03-19 15:00:00+00:00,26907.49,27308.58676,TRAIL,0.014906509674443685,2023-03,0.02723330938708883,0.20666868458889706
2023-03-19 00:00:00+00:00,2023-03-19 15:00:00+00:00,27053.57,27308.58676,TRAIL,0.00942636258357025,2023-03,0.021686601805233126,0.2160950471724673
2023-03-19 00:30:00+00:00,2023-03-19 15:00:00+00:00,27095.99,27308.58676,TRAIL,0.007846059878232782,2023-03,0.020087105139911802,0.22394110705070008
2023-03-19 06:30:00+00:00,2023-03-19 15:00:00+00:00,26984.79,27308.58676,TRAIL,0.011999232160042655,2023-03,0.02429072080975985,0.23594033921074273
2023-03-19 07:15:00+00:00,2023-03-19 15:00:00+00:00,26950.79,27308.58676,TRAIL,0.013275928460724062,2023-03,0.025582923543243055,0.2492162676714668
2023-03-19 07:30:00+00:00,2023-03-19 15:00:00+00:00,26983.01,27308.58676,TRAIL,0.01206599115517505,2023-03,0.024358290642889805,0.26128225882664186
2023-03-19 08:15:00+00:00,2023-03-19 15:00:00+00:00,27037.32,27308.58676,TRAIL,0.010033049133567921,2023-03,0.022300657017781375,0.27131530796020975
2023-03-19 09:30:00+00:00,2023-03-19 15:00:00+00:00,27026.6,27308.58676,TRAIL,0.01043367497206455,2023-03,0.022706148757150435,0.2817489829322743
2023-03-20 00:00:00+00:00,2023-03-20 01:00:00+00:00,27987.88,27568.0618,SL,-0.015000000000000053,2023-03,0.0024853615207724796,0.2667489829322742
2023-03-20 02:00:00+00:00,2023-03-20 02:30:00+00:00,27738.72,27322.6392,SL,-0.014999999999999989,2023-03,0.00030426782490319273,0.2517489829322742
2023-03-20 02:45:00+00:00,2023-03-20 07:30:00+00:00,27434.91,27881.19204,TRAIL,0.016266940186791277,2023-03,0.028610263346954733,0.26801592311906547
2023-03-20 03:45:00+00:00,2023-03-20 07:30:00+00:00,27269.17,27881.19204,TRAIL,0.022443735544572994,2023-03,0.03486208051070141,0.2904596586636385
2023-03-20 04:00:00+00:00,2023-03-20 07:30:00+00:00,27388.3,27881.19204,TRAIL,0.0179964451974019,2023-03,0.03036077449129747,0.3084561038610404
2023-03-20 06:00:00+00:00,2023-03-20 07:30:00+00:00,27576.77,27881.19204,TRAIL,0.011039075279664778,2023-03,0.023318902104923864,0.3194951791407052
2023-03-20 14:00:00+00:00,2023-03-20 16:15:00+00:00,27936.88,27517.8268,SL,-0.015000000000000074,2023-03,0.006906640970645281,0.3044951791407051
2023-03-20 14:15:00+00:00,2023-03-20 16:00:00+00:00,27992.55,27572.66175,SL,-0.015,2023-03,0.004904162000246582,0.2894951791407051
2023-03-20 16:15:00+00:00,2023-03-22 18:00:00+00:00,27642.91,28521.6334,TRAIL,0.03178838262686522,2023-03,0.04432022533083527,0.32128356176757034
2023-03-20 23:45:00+00:00,2023-03-22 18:00:00+00:00,27717.01,28521.6334,TRAIL,0.029029949478677552,2023-03,0.041528288946029925,0.3503135112462479
2023-03-21 00:00:00+00:00,2023-03-21 07:00:00+00:00,27780.65,27363.94025,SL,-0.015000000000000064,2023-03,0.006743902680462787,0.3353135112462478
2023-03-21 00:15:00+00:00,2023-03-21 07:00:00+00:00,27826.29,27408.895650000002,SL,-0.014999999999999951,2023-03,0.005092665964453009,0.32031351124624785
2023-03-21 00:45:00+00:00,2023-03-21 07:00:00+00:00,27850.21,27432.45685,SL,-0.015000000000000017,2023-03,0.004229411555604101,0.30531351124624784
2023-03-22 07:45:00+00:00,2023-03-22 18:00:00+00:00,28103.69,28521.6334,TRAIL,0.014871477731216083,2023-03,0.027197851954672166,0.32018498897746395
2023-03-22 09:15:00+00:00,2023-03-22 18:00:00+00:00,28098.28,28521.6334,TRAIL,0.01506687953853403,2023-03,0.02739562706329357,0.335251868515998
2023-03-22 17:30:00+00:00,2023-03-22 18:30:00+00:00,28386.81,27961.00785,SL,-0.014999999999999982,2023-03,0.016952943990536377,0.320251868515998
2023-03-22 20:00:00+00:00,2023-03-23 14:45:00+00:00,26920.03,27762.79012,TRAIL,0.031306061694582166,2023-03,0.043832046249577095,0.3515579302105802
2023-03-23 13:30:00+00:00,2023-03-23 14:45:00+00:00,27369.21,27762.79012,TRAIL,0.014380397534309626,2023-03,0.026700807220961163,0.3659383277448898
2023-03-23 14:00:00+00:00,2023-03-23 14:45:00+00:00,27419.99,27762.79012,TRAIL,0.012501832422258354,2023-03,0.024799425528601576,0.37844016016714815
2023-03-23 19:00:00+00:00,2023-03-24 20:30:00+00:00,27932.78,27513.7883,SL,-0.014999999999999953,2023-03,0.018738557350897474,0.3634401601671482
2023-03-24 09:15:00+00:00,2023-03-24 17:00:00+00:00,28187.73,27764.91405,SL,-0.015000000000000006,2023-03,0.002315901280450708,0.3484401601671482
2023-03-24 15:15:00+00:00,2023-03-24 17:45:00+00:00,27971.36,27551.7896,SL,-0.015000000000000019,2023-03,0.0037702850344065904,0.33344016016714817
2023-03-24 21:45:00+00:00,2023-03-27 14:15:00+00:00,27335.14,27315.2854,TRAIL,-0.0007263397955890753,2023-03,0.031434263735250746,0.3327138203715591
2023-03-28 01:15:00+00:00,2023-03-29 06:15:00+00:00,27009.79,28010.78329864271,TP,0.03706038805346907,2023-03,0.03724242209954242,0.3697742084250282
2023-03-28 04:45:00+00:00,2023-03-29 06:15:00+00:00,26964.6,27749.399150835117,TP,0.029104794836011617,2023-03,0.03898073770795792,0.3988790032610398
2023-03-28 10:00:00+00:00,2023-03-29 05:00:00+00:00,26900.97,27621.13007577107,TP,0.026770784688101186,2023-03,0.02784397737330657,0.425649787949141
2023-03-28 10:45:00+00:00,2023-03-28 18:45:00+00:00,26740.96,27061.32,TRAIL,0.011980123376273724,2023-03,0.024271379935499732,0.43762991132541473
2023-03-28 11:00:00+00:00,2023-03-28 18:45:00+00:00,26832.62,27061.32,TRAIL,0.008523207946149155,2023-03,0.020772477678288628,0.44615311927156387
