entry_time,exit_time,price,exit,outcome,pnl,month,max_pnl,cumulative_pnl
2024-08-15 21:30:00+00:00,2024-08-16 07:15:00+00:00,2561.4,2614.893,TRAIL_W,0.020884282033263035,2024-08,0.025884282033262953,0.020884282033263035
2024-08-19 01:00:00+00:00,2024-08-19 09:45:00+00:00,2620.6,2581.2909999999997,SL,-0.015000000000000076,2024-08,0.010417461650003885,0.0058842820332629595
2024-08-19 07:30:00+00:00,2024-08-19 09:45:00+00:00,2620.3,2580.9955,SL,-0.01500000000000007,2024-08,0.0009922527954813987,-0.009115717966737111
2024-08-19 08:00:00+00:00,2024-08-19 09:45:00+00:00,2616.7,2577.4494999999997,SL,-0.01500000000000004,2024-08,0.002369396568196688,-0.02411571796673715
2024-08-19 15:00:00+00:00,2024-08-19 23:15:00+00:00,2584.6,2626.177,TRAIL_W,0.016086435038303887,2024-08,0.0210864350383038,-0.008029282928433263
2024-08-20 08:30:00+00:00,2024-08-20 14:00:00+00:00,2663.3,2623.3505,SL,-0.015000000000000064,2024-08,0.0013517065294934513,-0.02302928292843333
2024-08-20 11:15:00+00:00,2024-08-20 14:00:00+00:00,2653.5,2613.6974999999998,SL,-0.01500000000000009,2024-08,0.0011682683248539322,-0.03802928292843342
2024-08-20 13:15:00+00:00,2024-08-20 14:30:00+00:00,2637.6,2598.036,SL,-0.014999999999999944,2024-08,0.0051941158629057755,-0.05302928292843336
2024-08-20 22:00:00+00:00,2024-08-21 13:30:00+00:00,2589.2,2550.3619999999996,SL,-0.015000000000000076,2024-08,0.0070678201761162456,-0.06802928292843344
2024-08-23 12:30:00+00:00,2024-08-23 17:45:00+00:00,2661.2,2721.6482853362354,TP,0.022714672078849987,2024-08,0.026566962272659055,-0.04531461084958345
2024-08-23 15:00:00+00:00,2024-08-23 17:45:00+00:00,2659.4,2718.6030000000005,TRAIL_W,0.02226178837331745,2024-08,0.02726178837331729,-0.023052822476266
2024-08-24 12:00:00+00:00,2024-08-24 16:30:00+00:00,2760.4,2806.698,TRAIL_W,0.016772206926532304,2024-08,0.021772206926532353,-0.006280615549733696
2024-08-24 14:45:00+00:00,2024-08-24 16:30:00+00:00,2760.9,2806.6955000000003,TRAIL_W,0.016587163606070546,2024-08,0.02158716360607045,0.01030654805633685
2024-08-24 22:15:00+00:00,2024-08-26 14:15:00+00:00,2748.7,2707.4694999999997,SL,-0.015000000000000045,2024-08,0.01608032888274467,-0.004693451943663194
2024-08-25 03:45:00+00:00,2024-08-26 02:15:00+00:00,2765.3,2723.8205000000003,SL,-0.014999999999999968,2024-08,0.009980833905905293,-0.019693451943663162
2024-08-25 07:15:00+00:00,2024-08-26 14:15:00+00:00,2748.1,2706.8785,SL,-0.01500000000000004,2024-08,0.016302172410028813,-0.0346934519436632
2024-09-01 23:15:00+00:00,2024-09-02 09:15:00+00:00,2425.8,2463.6710000000007,TRAIL_W,0.015611756946162316,2024-09,0.020611756946162088,-0.019081694997500887
2024-09-20 01:30:00+00:00,2024-09-20 03:45:00+00:00,2450.3,2508.048500000001,TRAIL_W,0.023567930457495244,2024-09,0.028567930457495,0.004486235459994357
