month,trades,wins,avg_pnl,total_pnl,win_rate
2024-08,16,6,-0.00216834074647895,-0.0346934519436632,37.5
2024-09,19,9,0.0009213114512468436,0.017504917573690028,47.368421052631575
2024-10,36,26,0.00873727180172042,0.3145417848619351,72.22222222222221
2024-11,60,31,0.00116975239164136,0.0701851434984816,51.66666666666667
2024-12,46,21,0.0009182065464964952,0.04223750113883878,45.65217391304348
2025-01,15,14,0.015395595018274982,0.23093392527412474,93.33333333333333
